haveit,pubDate,title,link,description
1,1386986160000,13 12 2013,http://arthurpetry.com/podcastgen/?name=2016-01-06_13_12_2013.mp3,Podcast Episode
1,1387245360000,16 12 2013,http://arthurpetry.com/podcastgen/?name=2016-01-06_16_12_2013.mp3,SoundJay.com Sound Effects
1,1387925760000,24 12 2013,http://arthurpetry.com/podcastgen/?name=2015-12-17_24_12_2013.mp3,SoundJay.com Sound Effects
1,1388443560000,31 12 2013,http://arthurpetry.com/podcastgen/?name=2015-12-10_31_12_2013.mp3,SoundJay.com Sound Effects
1,1388800560000,03 01 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_03_01_2014.mp3,SoundJay.com Sound Effects
1,1389405360000,10 01 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_10_01_2014.mp3,SoundJay.com Sound Effects
1,1390010160000,17 01 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_17_01_2014.mp3,SoundJay.com Sound Effects
1,1390614960000,24 01 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_24_01_2014.mp3,SoundJay.com Sound Effects
1,1390690560000,25 01 2014,http://arthurpetry.com/podcastgen/?name=2015-12-17_25_01_2014.mp3,SoundJay.com Sound Effects
1,1391209020000,31 01 2014,http://arthurpetry.com/podcastgen/?name=2015-12-10_31_01_2014.mp3,SoundJay.com Sound Effects
1,1391824560000,07 02 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_07_02_2014.mp3,SoundJay.com Sound Effects
1,1391910960000,08 02 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_08_02_2014.mp3,Podcast Episode
1,1393034160000,21 02 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_21_02_2014.mp3,Arthur Petry
1,1393628160000,28 02 2014,http://arthurpetry.com/podcastgen/?name=2015-12-17_28_02_2014.mp3,Arthur Petry
1,1394499360000,10 03 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_10_03_2014.mp3,Arthur Petry
1,1394844960000,14 03 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_14_03_2014.mp3,Arthur Petry
1,1395449760000,21 03 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_21_03_2014.mp3,Arthur Petry
1,1396043760000,28 03 2014,http://arthurpetry.com/podcastgen/?name=2015-12-17_28_03_2014.mp3,Arthur Petry
1,1396659360000,04 04 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_04_04_2014.mp3,Arthur Petry
1,1397264160000,11 04 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_11_04_2014.mp3,Arthur Petry
1,1398214560000,22 04 14,http://arthurpetry.com/podcastgen/?name=2016-01-06_22_04_14.mp3,Arthur Petry
1,1398462960000,25 04 2014,http://arthurpetry.com/podcastgen/?name=2015-12-17_25_04_2014.mp3,Arthur Petry
1,1399078560000,02 05 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_02_05_2014.mp3,Arthur Petry
1,1399683360000,09 05 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_09_05_2014.mp3,Arthur Petry
1,1400288160000,16 05 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_16_05_2014.mp3,Arthur Petry
1,1400892960000,23 05 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_23_05_2014.mp3,Arthur Petry
1,1401490200000,30 05 2014,http://arthurpetry.com/podcastgen/?name=2015-12-10_30_05_2014.mp3,Arthur Petry
1,1402102560000,06 06 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_06_06_2014.mp3,Arthur Petry
1,1402707360000,13 06 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_13_06_2014.mp3,Arthur Petry
1,1403312160000,20 06 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_20_06_2014.mp3,Arthur Petry
1,1403906160000,27 06 2014,http://arthurpetry.com/podcastgen/?name=2015-12-17_27_06_2014.mp3,Arthur Petry
1,1404521760000,04 07 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_04_07_2014.mp3,Arthur Petry
1,1405126560000,11 07 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_11_07_2014.mp3,Arthur Petry
1,1405731360000,18 07 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_18_07_2014.mp3,Arthur Petry
